#{"source_key": "FTS", "source_url": {"Cameroon": "https://fts.unocha.org/appeals/537/clusters", "Chad": "https://fts.unocha.org/appeals/532/clusters", "Niger": "https://fts.unocha.org/appeals/530/clusters", "Nigeria": "https://fts.unocha.org/appeals/536/clusters"}, "source_date": "Unknown, 2017", "update_frequency": "Unknown / Irregular", "extract_date": "2017-04-10"}
Cluster/Sector,Requirements US$,Funding US$,Coverage %,Country
Abris/NFI,13437826,1284399,9.6,Niger
Coordination and Support Services,3521248,48996,1.4,Niger
Education,9321153,578410,6.2,Niger
Logistique UNHAS,7839168,1217180,15.5,Niger
Not specified,0,2747042,0,Niger
Nutrition,66850000,2391095,3.6,Niger
Protection,21780818,2171028,10,Niger
S/Cluster Protection de l'Enfant,4149711,699987,16.9,Niger
S/Cluster VBG,1261109,500332,39.7,Niger
Santé,13128799,1007123,7.7,Niger
Securité Alimentaire,112177164,81954782,73.1,Niger
Wash,17880000,2578579,14.4,Niger
Coordination,8245593,3698000,44.8,Cameroon
Early Recovery,26754296,972750,3.6,Cameroon
Education,16070447,0,0,Cameroon
Food Security,90713620,6007634,6.6,Cameroon
Health,14640976,1663973,11.4,Cameroon
Multi-Sector for Refugees,82537901,4491547,5.4,Cameroon
Not specified,0,32511840 0,Cameroon
Nutrition,19238142,2484841,12.9,Cameroon
Protection,20544142,2361168,11.5,Cameroon
Shelter,5599281,425000,7.6,Cameroon
WASH,25298814,1000252,4,Cameroon
Camp Coordination and Camp Management,11560000,0,0,Nigeria
Coordination and Support Services,31193662,9389184,30.1,Nigeria
Early Recovery and Livelihoods,44553589,28701 0.1,Nigeria
Education,56339244,4946844,8.8,Nigeria
Emergency Shelter and NFI,70332436,4789765,6.8,Nigeria
Emergency Telecommunications,5846761,558847,9.6,Nigeria
Food Security,480260433,85283324 17.8,Nigeria
Health,93827598,6313683,6.7,Nigeria
Logistics,12238706,6117318,50,Nigeria
Not specified,0,10691648 0,Nigeria
Nutrition,110268668,19201538 17.4,Nigeria
Protection,88274151,6988098,7.9,Nigeria
Water and Sanitation,49736246,7112352,14.3,Nigeria
Abris/CCM/AME,10537984,0,0,Chad
Coordination,6273121,79743 1.3,Chad
"Eau, Hygiène et Assainissement",14920648,0,0,Chad
Education,18041739,0,0,Chad
Logistique,15329264,223048,1.5,Chad
Not specified,0,3940573,0,Chad
Nutrition,58031341,0,0,Chad
Protection,18386838,897506,4.9,Chad
Réponse multisectorielle pour les réfugiés,159995308,2124500,1.3,Chad
Santé,30828061,1277640,4.1,Chad
Sécurité Alimentaire,256263959,2973978,1.2,Chad
